model,threshold,accuracy,precision,recall,sensitivity,specificity,f1_score,false_positive_rate,false_negative_rate,true_positives,false_positives,true_negatives,false_negatives,articles_flagged_for_review,review_workload_pct,workload_reduction_pct,total_positives,total_negatives,total_samples,model_key
Linear SVM (Calibrated),0.98,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,linear_svc
Multinomial Naive Bayes,0.02,0.5205479452054794,0.40350877192982454,0.9583333333333334,0.9583333333333334,0.30612244897959184,0.5679012345679012,0.6938775510204082,0.041666666666666664,23,34,15,1,57,78.08219178082192,21.91780821917808,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.04,0.6027397260273972,0.4489795918367347,0.9166666666666666,0.9166666666666666,0.4489795918367347,0.6027397260273972,0.5510204081632653,0.08333333333333333,22,27,22,2,49,67.12328767123287,32.87671232876712,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.06,0.6438356164383562,0.4782608695652174,0.9166666666666666,0.9166666666666666,0.5102040816326531,0.6285714285714286,0.4897959183673469,0.08333333333333333,22,24,25,2,46,63.013698630136986,36.986301369863014,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.08,0.6712328767123288,0.5,0.9166666666666666,0.9166666666666666,0.5510204081632653,0.6470588235294118,0.4489795918367347,0.08333333333333333,22,22,27,2,44,60.273972602739725,39.726027397260275,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.1,0.726027397260274,0.55,0.9166666666666666,0.9166666666666666,0.6326530612244898,0.6875,0.3673469387755102,0.08333333333333333,22,18,31,2,40,54.794520547945204,45.20547945205479,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.12,0.7671232876712328,0.5945945945945946,0.9166666666666666,0.9166666666666666,0.6938775510204082,0.7213114754098361,0.30612244897959184,0.08333333333333333,22,15,34,2,37,50.68493150684932,49.31506849315068,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.14,0.7808219178082192,0.6111111111111112,0.9166666666666666,0.9166666666666666,0.7142857142857143,0.7333333333333333,0.2857142857142857,0.08333333333333333,22,14,35,2,36,49.31506849315068,50.68493150684932,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.16,0.7808219178082192,0.6111111111111112,0.9166666666666666,0.9166666666666666,0.7142857142857143,0.7333333333333333,0.2857142857142857,0.08333333333333333,22,14,35,2,36,49.31506849315068,50.68493150684932,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.18,0.7945205479452054,0.6363636363636364,0.875,0.875,0.7551020408163265,0.7368421052631579,0.24489795918367346,0.125,21,12,37,3,33,45.20547945205479,54.794520547945204,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.2,0.8082191780821918,0.65625,0.875,0.875,0.7755102040816326,0.75,0.22448979591836735,0.125,21,11,38,3,32,43.83561643835616,56.16438356164384,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.22,0.8082191780821918,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.7959183673469388,0.7407407407407407,0.20408163265306123,0.16666666666666666,20,10,39,4,30,41.0958904109589,58.9041095890411,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.24,0.8082191780821918,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.7959183673469388,0.7407407407407407,0.20408163265306123,0.16666666666666666,20,10,39,4,30,41.0958904109589,58.9041095890411,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.26,0.7808219178082192,0.6428571428571429,0.75,0.75,0.7959183673469388,0.6923076923076923,0.20408163265306123,0.25,18,10,39,6,28,38.35616438356164,61.64383561643836,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.28,0.7945205479452054,0.6666666666666666,0.75,0.75,0.8163265306122449,0.7058823529411765,0.1836734693877551,0.25,18,9,40,6,27,36.986301369863014,63.013698630136986,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.3,0.7945205479452054,0.6666666666666666,0.75,0.75,0.8163265306122449,0.7058823529411765,0.1836734693877551,0.25,18,9,40,6,27,36.986301369863014,63.013698630136986,24,49,73,multinomial_nb
Multinomial Naive Bayes,0.32,0.8082191780821918,0.6923076923076923,0.75,0.75,0.8367346938775511,0.72,0.16326530612244897,0.25,18,8,41,6,26,35.61643835616438,64.38356164383562,24,49,73,multinomial_nb
